names,games
Stephen Curry,37
James Harden,9
Damian Lillard,9
Klay Thompson,7
JR Smith,5
Kobe Bryant,4
Buddy Hield,3
Zach LaVine,3
Duncan Robinson,3
D'Angelo Russell,3
Kemba Walker,3
Ben Gordon,3
Dennis Scott,3
Tim Hardaway Jr.,2
Devonte' Graham,2
Kyrie Irving,2
Paul George,2
Mike Miller,2
Latrell Sprewell,2
Antoine Walker,2
Patty Mills,1
Kevin Porter Jr.,1
Anfernee Simons,1
Jaylen Brown,1
Danilo Gallinari,1
